Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Country,City,State,Region,Product_ID,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price,Year,Month,Quarter,Profit_Margin,Customer_Segment
CA-2025-100011,2025-04-23,2025-04-25,SO-20335,Sean O'Donnell,0,USA,Philadelphia,Pennsylvania,1,FUR-CH-10000111,0,Chairs,Ergonomic Chair,2835.2,7,0.3,-9072.64,1,4,1,1701.12,405.0285714285714,2025,4,2,-320.0,0
CA-2025-100012,2025-01-12,2025-01-13,RT-17090,Robert Taylor,1,USA,Atlanta,Georgia,2,OFF-BI-10001524,1,Binders,Premium Binder,894.63,2,0.0,-178.92600000000004,0,0,2,536.778,447.315,2025,1,1,-20.000000000000004,3
CA-2025-100013,2025-09-27,2025-10-02,SO-20335,Sean O'Donnell,0,USA,Phoenix,Arizona,3,TEC-PR-10002311,2,Printers,Laser Printer,950.92,4,0.0,-1331.2879999999996,1,0,2,570.5519999999999,237.73,2025,9,3,-139.99999999999997,2
CA-2025-100014,2025-01-01,2025-01-06,EH-13945,Emily Harper,1,USA,New York,New York,1,FUR-CH-10000111,0,Chairs,Ergonomic Chair,7124.2,6,0.1,-18522.92,1,4,0,4274.52,1187.3666666666666,2025,1,1,-260.00000000000006,1
CA-2025-100015,2025-09-04,2025-09-09,DV-13045,Darrin Van Huff,1,USA,Denver,Colorado,3,FUR-CH-10000111,0,Chairs,Ergonomic Chair,422.74,3,0.3,-338.192,0,0,2,253.644,140.91333333333333,2025,9,3,-80.0,3
CA-2025-100016,2026-06-25,2026-06-30,JM-14520,James Miller,0,USA,Chicago,Illinois,0,OFF-LA-10000240,1,Labels,Address Labels,2569.12,5,0.15,-5138.24,1,4,1,1541.472,513.824,2026,6,2,-200.0,2
CA-2025-100017,2026-06-14,2026-06-18,DV-13045,Darrin Van Huff,1,USA,Dallas,Texas,0,FUR-CH-10000111,0,Chairs,Ergonomic Chair,235.64,6,0.05,-612.6639999999999,0,4,2,141.384,39.27333333333333,2026,6,2,-259.99999999999994,0
CA-2025-100018,2025-01-08,2025-01-09,CG-12520,Claire Gute,0,USA,Dallas,Texas,0,FUR-BO-10001798,0,Bookcases,Bookcase,658.79,6,0.05,-1712.8540000000005,1,4,1,395.274,109.79833333333332,2025,1,1,-260.00000000000006,0
CA-2025-100019,2026-05-13,2026-05-15,RT-17090,Robert Taylor,1,USA,Chicago,Illinois,0,TEC-AC-10003033,2,Accessories,Wireless Mouse,2083.57,8,0.3,-7917.566000000001,0,4,2,1250.142,260.44625,2026,5,2,-380.0,0
CA-2025-100020,2025-04-10,2025-04-14,EH-13945,Emily Harper,1,USA,Boston,Massachusetts,1,TEC-PH-10002275,2,Phones,IP Phone,1013.31,1,0.0,405.324,0,3,2,607.986,1013.31,2025,4,2,40.0,3
CA-2025-100021,2025-12-14,2025-12-15,BH-11710,Brosina Hoffman,0,USA,Dallas,Texas,0,TEC-LA-10000221,2,Laptops,Laptop,1750.97,8,0.0,-6653.686000000001,1,4,0,1050.582,218.87125,2025,12,4,-380.0,0
CA-2025-100022,2025-09-13,2025-09-14,LM-15800,Linda Moore,2,USA,Los Angeles,California,3,TEC-PR-10002311,2,Printers,Laser Printer,1381.11,1,0.05,552.444,0,3,0,828.6659999999999,1381.11,2025,9,3,40.0,3
CA-2025-100023,2026-05-13,2026-05-17,BH-11710,Brosina Hoffman,0,USA,New York,New York,1,FUR-DE-10004567,0,Desks,Office Desk,73.98,7,0.2,-236.736,0,4,0,44.388,10.56857142857143,2026,5,2,-320.0,0
CA-2025-100024,2026-04-11,2026-04-14,JM-14520,James Miller,0,USA,New York,New York,1,OFF-LA-10000240,1,Labels,Address Labels,1671.87,5,0.0,-3343.739999999999,1,1,1,1003.1219999999998,334.374,2026,4,2,-199.99999999999997,2
CA-2025-100025,2025-03-04,2025-03-07,CG-12520,Claire Gute,0,USA,Denver,Colorado,3,TEC-LA-10000221,2,Laptops,Laptop,284.25,3,0.0,-227.4,1,1,1,170.54999999999998,94.75,2025,3,1,-80.0,3
CA-2025-100026,2025-03-12,2025-03-17,DV-13045,Darrin Van Huff,1,USA,Austin,Texas,0,FUR-CH-10000111,0,Chairs,Ergonomic Chair,3490.36,4,0.0,-4886.503999999999,0,2,0,2094.216,872.59,2025,3,1,-139.99999999999997,2
CA-2025-100027,2026-03-06,2026-03-11,SB-18120,Sophia Brown,0,USA,Henderson,Kentucky,2,OFF-LA-10000240,1,Labels,Address Labels,1755.08,6,0.2,-4563.2080000000005,0,2,0,1053.048,292.5133333333333,2026,3,1,-260.00000000000006,0
CA-2025-100028,2025-11-04,2025-11-08,EH-13945,Emily Harper,1,USA,Los Angeles,California,3,TEC-PH-10002275,2,Phones,IP Phone,226.4,2,0.05,-45.28,0,3,0,135.84,113.2,2025,11,4,-20.0,3
CA-2025-100029,2025-05-16,2025-05-19,DV-13045,Darrin Van Huff,1,USA,Austin,Texas,0,OFF-ST-10000760,1,Storage,Storage Cart,1789.82,3,0.1,-1431.8559999999995,1,0,2,1073.8919999999998,596.6066666666667,2025,5,2,-79.99999999999999,3
CA-2025-100030,2025-01-09,2025-01-14,AA-10480,Andrew Allen,2,USA,Seattle,Washington,3,OFF-ST-10000760,1,Storage,Storage Cart,2671.34,2,0.0,-534.268,0,0,1,1602.804,1335.67,2025,1,1,-20.0,3
CA-2025-100031,2025-08-04,2025-08-07,BH-11710,Brosina Hoffman,0,USA,Atlanta,Georgia,2,TEC-PH-10002275,2,Phones,IP Phone,6794.76,5,0.0,-13589.520000000002,0,1,1,4076.856,1358.952,2025,8,3,-200.00000000000009,1
CA-2025-100032,2026-03-10,2026-03-13,CG-12520,Claire Gute,0,USA,Phoenix,Arizona,3,FUR-DE-10004567,0,Desks,Office Desk,877.65,5,0.3,-1755.2999999999995,1,4,1,526.5899999999999,175.53,2026,3,1,-200.0,2
CA-2025-100033,2025-01-10,2025-01-11,DV-13045,Darrin Van Huff,1,USA,Chicago,Illinois,0,FUR-BO-10001798,0,Bookcases,Bookcase,5267.64,6,0.0,-13695.864,0,2,1,3160.5840000000003,877.94,2025,1,1,-260.0,0
CA-2025-100034,2025-02-12,2025-02-15,EH-13945,Emily Harper,1,USA,Phoenix,Arizona,3,OFF-LA-10000240,1,Labels,Address Labels,3412.68,4,0.15,-4777.752,0,2,2,2047.608,853.17,2025,2,1,-140.0,2
CA-2025-100035,2026-02-21,2026-02-26,SO-20335,Sean O'Donnell,0,USA,Dallas,Texas,0,FUR-DE-10004567,0,Desks,Office Desk,279.24,7,0.15,-893.568,1,4,2,167.544,39.89142857142857,2026,2,1,-320.0,0
CA-2025-100036,2026-02-26,2026-02-28,AA-10480,Andrew Allen,2,USA,Chicago,Illinois,0,FUR-CH-10000111,0,Chairs,Ergonomic Chair,6416.69,7,0.3,-20533.408000000003,1,4,1,3850.014,916.67,2026,2,1,-320.00000000000006,1
CA-2025-100037,2026-04-17,2026-04-20,AA-10480,Andrew Allen,2,USA,Dallas,Texas,0,FUR-BO-10001798,0,Bookcases,Bookcase,2173.37,4,0.1,-3042.718,1,3,0,1304.022,543.3425,2026,4,2,-140.0,2
CA-2025-100038,2025-10-13,2025-10-16,RT-17090,Robert Taylor,1,USA,Philadelphia,Pennsylvania,1,TEC-LA-10000221,2,Laptops,Laptop,8456.78,6,0.0,-21987.628000000004,1,3,2,5074.068,1409.4633333333334,2025,10,4,-260.0,1
CA-2025-100039,2025-09-25,2025-09-27,SB-18120,Sophia Brown,0,USA,Miami,Florida,2,FUR-CH-10000111,0,Chairs,Ergonomic Chair,3124.19,7,0.15,-9997.408,0,4,2,1874.514,446.3128571428571,2025,9,3,-320.0,0
CA-2025-100040,2026-06-08,2026-06-09,JM-14520,James Miller,0,USA,Austin,Texas,0,FUR-BO-10001798,0,Bookcases,Bookcase,83.26,7,0.05,-266.432,0,2,1,49.956,11.894285714285717,2026,6,2,-320.0,0
CA-2025-100041,2025-03-13,2025-03-16,SB-18120,Sophia Brown,0,USA,Atlanta,Georgia,2,FUR-CH-10000111,0,Chairs,Ergonomic Chair,3062.45,5,0.2,-6124.900000000001,0,2,0,1837.47,612.49,2025,3,1,-200.00000000000009,2
CA-2025-100042,2025-10-30,2025-11-04,SO-20335,Sean O'Donnell,0,USA,Austin,Texas,0,TEC-PR-10002311,2,Printers,Laser Printer,7134.43,7,0.0,-22830.176000000003,0,3,2,4280.658,1019.2042857142858,2025,10,4,-320.0,1
CA-2025-100043,2025-11-05,2025-11-09,RT-17090,Robert Taylor,1,USA,Phoenix,Arizona,3,OFF-ST-10000760,1,Storage,Storage Cart,2211.81,4,0.15,-3096.534,0,1,2,1327.086,552.9525,2025,11,4,-140.0,2
CA-2025-100044,2026-03-29,2026-03-31,RT-17090,Robert Taylor,1,USA,Philadelphia,Pennsylvania,1,FUR-DE-10004567,0,Desks,Office Desk,735.83,2,0.15,-147.16599999999994,1,2,2,441.498,367.915,2026,3,1,-19.99999999999999,3
CA-2025-100045,2025-08-29,2025-09-01,BH-11710,Brosina Hoffman,0,USA,Dallas,Texas,0,FUR-BO-10001798,0,Bookcases,Bookcase,262.37,1,0.3,104.948,0,1,2,157.422,262.37,2025,8,3,40.0,3
CA-2025-100046,2026-04-12,2026-04-16,SB-18120,Sophia Brown,0,USA,Chicago,Illinois,0,OFF-PA-10000345,1,Paper,A4 Paper,4843.86,8,0.0,-18406.668,0,4,1,2906.316,605.4825,2026,4,2,-380.0,1
CA-2025-100047,2025-01-06,2025-01-07,JM-14520,James Miller,0,USA,Dallas,Texas,0,TEC-LA-10000221,2,Laptops,Laptop,644.67,8,0.05,-2449.746,0,2,1,386.802,80.58375,2025,1,1,-380.0,0
CA-2025-100048,2025-05-05,2025-05-09,SO-20335,Sean O'Donnell,0,USA,Philadelphia,Pennsylvania,1,TEC-LA-10000221,2,Laptops,Laptop,5987.35,6,0.3,-15567.110000000002,1,2,1,3592.4100000000003,997.8916666666668,2025,5,2,-260.0,1
CA-2025-100049,2026-06-01,2026-06-05,RT-17090,Robert Taylor,1,USA,New York,New York,1,TEC-PH-10002275,2,Phones,IP Phone,3011.09,8,0.05,-11442.142,0,2,0,1806.654,376.38625,2026,6,2,-380.0,0
CA-2025-100050,2025-10-11,2025-10-16,LM-15800,Linda Moore,2,USA,Austin,Texas,0,TEC-PH-10002275,2,Phones,IP Phone,2039.05,2,0.05,-407.8099999999997,1,3,0,1223.4299999999998,1019.525,2025,10,4,-19.999999999999982,3
CA-2025-100051,2025-11-24,2025-11-29,DV-13045,Darrin Van Huff,1,USA,Dallas,Texas,0,OFF-LA-10000240,1,Labels,Address Labels,6942.5,7,0.05,-22216.0,1,2,1,4165.5,991.7857142857144,2025,11,4,-320.0,1
CA-2025-100052,2026-02-22,2026-02-25,RT-17090,Robert Taylor,1,USA,Boston,Massachusetts,1,FUR-BO-10001798,0,Bookcases,Bookcase,4003.23,4,0.2,-5604.522000000001,1,2,0,2401.938,1000.8075,2026,2,1,-140.0,2
CA-2025-100053,2025-01-21,2025-01-26,JM-14520,James Miller,0,USA,New York,New York,1,OFF-BI-10001524,1,Binders,Premium Binder,4530.71,5,0.2,-9061.419999999998,1,2,1,2718.426,906.142,2025,1,1,-199.99999999999997,2
CA-2025-100054,2025-08-14,2025-08-18,BH-11710,Brosina Hoffman,0,USA,Henderson,Kentucky,2,TEC-PH-10002275,2,Phones,IP Phone,471.52,1,0.2,188.608,0,2,0,282.912,471.52,2025,8,3,40.0,3
CA-2025-100055,2026-04-24,2026-04-26,SB-18120,Sophia Brown,0,USA,Denver,Colorado,3,TEC-AC-10003033,2,Accessories,Wireless Mouse,108.07,1,0.2,43.228,0,2,2,64.842,108.07,2026,4,2,40.0,3
CA-2025-100056,2026-04-18,2026-04-20,CG-12520,Claire Gute,0,USA,Henderson,Kentucky,2,OFF-BI-10001524,1,Binders,Premium Binder,2337.51,4,0.15,-3272.514,1,3,0,1402.506,584.3775,2026,4,2,-140.0,2
CA-2025-100057,2026-01-24,2026-01-27,JM-14520,James Miller,0,USA,Miami,Florida,2,TEC-PH-10002275,2,Phones,IP Phone,1126.05,1,0.0,450.42,0,4,0,675.63,1126.05,2026,1,1,40.0,3
CA-2025-100058,2025-12-25,2025-12-27,DV-13045,Darrin Van Huff,1,USA,Los Angeles,California,3,OFF-LA-10000240,1,Labels,Address Labels,5041.8,4,0.0,-7058.52,1,1,2,3025.08,1260.45,2025,12,4,-140.0,2
CA-2025-100059,2026-04-30,2026-05-01,SB-18120,Sophia Brown,0,USA,Austin,Texas,0,OFF-ST-10000760,1,Storage,Storage Cart,1560.03,6,0.0,-4056.078,1,3,2,936.018,260.005,2026,4,2,-260.00000000000006,0
CA-2025-100060,2025-06-17,2025-06-20,DV-13045,Darrin Van Huff,1,USA,Phoenix,Arizona,3,TEC-AC-10003033,2,Accessories,Wireless Mouse,3996.75,7,0.05,-12789.600000000002,0,4,0,2398.05,570.9642857142857,2025,6,2,-320.00000000000006,0
CA-2025-100061,2025-09-06,2025-09-07,AA-10480,Andrew Allen,2,USA,Los Angeles,California,3,OFF-BI-10001524,1,Binders,Premium Binder,6969.67,7,0.0,-22302.944,0,2,2,4181.802,995.6671428571428,2025,9,3,-319.99999999999994,1
CA-2025-100062,2025-12-16,2025-12-17,JM-14520,James Miller,0,USA,New York,New York,1,OFF-PA-10000345,1,Paper,A4 Paper,4019.49,6,0.3,-10450.674,1,0,2,2411.694,669.915,2025,12,4,-260.00000000000006,0
CA-2025-100063,2026-06-19,2026-06-22,SB-18120,Sophia Brown,0,USA,Boston,Massachusetts,1,OFF-PA-10000345,1,Paper,A4 Paper,2328.61,5,0.05,-4657.219999999999,0,3,0,1397.166,465.722,2026,6,2,-199.99999999999997,2
CA-2025-100064,2025-03-30,2025-04-02,LM-15800,Linda Moore,2,USA,Austin,Texas,0,TEC-AC-10003033,2,Accessories,Wireless Mouse,2505.03,7,0.3,-8016.096,0,3,2,1503.018,357.8614285714286,2025,3,1,-320.0,0
CA-2025-100065,2025-08-06,2025-08-09,AA-10480,Andrew Allen,2,USA,Henderson,Kentucky,2,TEC-AC-10003033,2,Accessories,Wireless Mouse,3981.11,5,0.05,-7962.220000000001,0,4,1,2388.666,796.222,2025,8,3,-200.00000000000009,2
CA-2025-100066,2026-02-21,2026-02-25,RT-17090,Robert Taylor,1,USA,Chicago,Illinois,0,TEC-PH-10002275,2,Phones,IP Phone,5422.24,8,0.0,-20604.512,0,1,1,3253.344,677.78,2026,2,1,-380.00000000000006,1
CA-2025-100067,2025-08-15,2025-08-19,BH-11710,Brosina Hoffman,0,USA,Atlanta,Georgia,2,TEC-AC-10003033,2,Accessories,Wireless Mouse,3647.31,6,0.15,-9483.006,1,3,0,2188.386,607.885,2025,8,3,-260.0,0
CA-2025-100068,2025-12-05,2025-12-08,LM-15800,Linda Moore,2,USA,Henderson,Kentucky,2,OFF-ST-10000760,1,Storage,Storage Cart,721.15,4,0.05,-1009.61,1,2,1,432.69,180.2875,2025,12,4,-140.0,2
CA-2025-100069,2025-07-09,2025-07-11,BH-11710,Brosina Hoffman,0,USA,Boston,Massachusetts,1,TEC-AC-10003033,2,Accessories,Wireless Mouse,6987.06,5,0.05,-13974.12,1,2,2,4192.236,1397.412,2025,7,3,-200.0,1
CA-2025-100070,2026-01-05,2026-01-07,AA-10480,Andrew Allen,2,USA,Seattle,Washington,3,OFF-ST-10000760,1,Storage,Storage Cart,1315.53,1,0.1,526.212,1,0,2,789.318,1315.53,2026,1,1,40.0,3
CA-2025-100071,2025-05-10,2025-05-14,DV-13045,Darrin Van Huff,1,USA,Phoenix,Arizona,3,TEC-PH-10002275,2,Phones,IP Phone,5330.39,8,0.0,-20255.482,0,2,2,3198.234,666.29875,2025,5,2,-380.0,1
CA-2025-100072,2025-09-16,2025-09-20,DV-13045,Darrin Van Huff,1,USA,Denver,Colorado,3,TEC-PH-10002275,2,Phones,IP Phone,1739.52,2,0.0,-347.904,1,4,1,1043.712,869.76,2025,9,3,-20.0,3
CA-2025-100073,2025-11-08,2025-11-09,BH-11710,Brosina Hoffman,0,USA,Denver,Colorado,3,TEC-AC-10003033,2,Accessories,Wireless Mouse,3730.51,4,0.2,-5222.714,1,2,1,2238.306,932.6275,2025,11,4,-140.0,2
CA-2025-100074,2026-03-30,2026-04-02,SB-18120,Sophia Brown,0,USA,Boston,Massachusetts,1,TEC-AC-10003033,2,Accessories,Wireless Mouse,918.35,1,0.0,367.34,0,2,2,551.01,918.35,2026,3,1,40.0,3
CA-2025-100075,2025-08-01,2025-08-03,AA-10480,Andrew Allen,2,USA,Seattle,Washington,3,OFF-LA-10000240,1,Labels,Address Labels,2497.41,3,0.0,-1997.928,0,4,2,1498.446,832.4699999999999,2025,8,3,-80.0,2
CA-2025-100076,2026-04-07,2026-04-12,LM-15800,Linda Moore,2,USA,Miami,Florida,2,OFF-LA-10000240,1,Labels,Address Labels,3721.77,5,0.3,-7443.539999999999,0,0,1,2233.062,744.354,2026,4,2,-200.0,2
CA-2025-100077,2025-09-28,2025-10-03,BH-11710,Brosina Hoffman,0,USA,New York,New York,1,TEC-LA-10000221,2,Laptops,Laptop,3509.91,4,0.1,-4913.874,0,2,1,2105.946,877.4775,2025,9,3,-140.0,2
CA-2025-100078,2025-03-15,2025-03-16,SO-20335,Sean O'Donnell,0,USA,Atlanta,Georgia,2,TEC-AC-10003033,2,Accessories,Wireless Mouse,2325.19,5,0.3,-4650.379999999999,1,2,1,1395.114,465.038,2025,3,1,-199.99999999999997,2
CA-2025-100079,2025-10-06,2025-10-11,RT-17090,Robert Taylor,1,USA,Boston,Massachusetts,1,FUR-CH-10000111,0,Chairs,Ergonomic Chair,1134.95,1,0.15,453.98,1,3,0,680.97,1134.95,2025,10,4,40.0,3
CA-2025-100080,2025-01-27,2025-01-28,BH-11710,Brosina Hoffman,0,USA,Phoenix,Arizona,3,TEC-AC-10003033,2,Accessories,Wireless Mouse,1147.03,1,0.0,458.812,1,4,0,688.218,1147.03,2025,1,1,40.0,3
CA-2025-100081,2026-03-29,2026-04-01,SO-20335,Sean O'Donnell,0,USA,Philadelphia,Pennsylvania,1,TEC-PH-10002275,2,Phones,IP Phone,1136.5,2,0.2,-227.29999999999995,0,1,0,681.9,568.25,2026,3,1,-20.0,3
CA-2025-100082,2025-04-18,2025-04-20,EH-13945,Emily Harper,1,USA,Philadelphia,Pennsylvania,1,TEC-PH-10002275,2,Phones,IP Phone,3989.0,5,0.2,-7978.0,1,3,2,2393.4,797.8,2025,4,2,-200.0,2
CA-2025-100083,2025-02-07,2025-02-11,DV-13045,Darrin Van Huff,1,USA,Henderson,Kentucky,2,OFF-BI-10001524,1,Binders,Premium Binder,2328.92,2,0.2,-465.7840000000001,1,1,2,1397.352,1164.46,2025,2,1,-20.000000000000004,3
CA-2025-100084,2025-01-02,2025-01-07,LM-15800,Linda Moore,2,USA,New York,New York,1,OFF-LA-10000240,1,Labels,Address Labels,3938.44,6,0.3,-10239.943999999998,0,0,0,2363.064,656.4066666666666,2025,1,1,-259.99999999999994,0
CA-2025-100085,2025-07-28,2025-07-31,RT-17090,Robert Taylor,1,USA,Austin,Texas,0,TEC-PH-10002275,2,Phones,IP Phone,1451.03,8,0.05,-5513.914,0,4,1,870.6179999999999,181.37875,2025,7,3,-380.0,0
CA-2025-100086,2025-11-15,2025-11-20,CG-12520,Claire Gute,0,USA,New York,New York,1,OFF-LA-10000240,1,Labels,Address Labels,1395.11,2,0.0,-279.02199999999993,0,1,1,837.0659999999999,697.555,2025,11,4,-20.0,3
CA-2025-100087,2025-06-07,2025-06-11,AA-10480,Andrew Allen,2,USA,Henderson,Kentucky,2,TEC-PH-10002275,2,Phones,IP Phone,2985.27,8,0.0,-11344.026,1,3,1,1791.162,373.15875,2025,6,2,-380.0,0
CA-2025-100088,2026-06-05,2026-06-07,DV-13045,Darrin Van Huff,1,USA,Henderson,Kentucky,2,OFF-BI-10001524,1,Binders,Premium Binder,5546.78,5,0.1,-11093.56,1,3,1,3328.068,1109.356,2026,6,2,-200.00000000000009,2
CA-2025-100089,2026-05-17,2026-05-19,LM-15800,Linda Moore,2,USA,Boston,Massachusetts,1,OFF-BI-10001524,1,Binders,Premium Binder,4096.36,7,0.15,-13108.352,1,3,2,2457.816,585.1942857142857,2026,5,2,-320.0,0
CA-2025-100090,2025-09-02,2025-09-07,JM-14520,James Miller,0,USA,Austin,Texas,0,FUR-BO-10001798,0,Bookcases,Bookcase,5374.13,6,0.2,-13972.738,1,1,2,3224.478,895.6883333333334,2025,9,3,-260.0,0
CA-2025-100091,2025-06-05,2025-06-09,CG-12520,Claire Gute,0,USA,Chicago,Illinois,0,TEC-AC-10003033,2,Accessories,Wireless Mouse,5484.58,6,0.3,-14259.908,0,0,0,3290.748,914.0966666666668,2025,6,2,-260.0,1
CA-2025-100092,2025-01-16,2025-01-18,JM-14520,James Miller,0,USA,Dallas,Texas,0,TEC-PH-10002275,2,Phones,IP Phone,2057.82,5,0.2,-4115.639999999999,0,4,2,1234.692,411.564,2025,1,1,-199.99999999999997,2
CA-2025-100093,2025-12-03,2025-12-08,JM-14520,James Miller,0,USA,Atlanta,Georgia,2,TEC-PH-10002275,2,Phones,IP Phone,883.51,1,0.05,353.404,1,0,1,530.106,883.51,2025,12,4,40.0,3
CA-2025-100094,2025-10-22,2025-10-24,DV-13045,Darrin Van Huff,1,USA,New York,New York,1,TEC-PR-10002311,2,Printers,Laser Printer,1207.95,2,0.1,-241.58999999999992,1,4,0,724.77,603.975,2025,10,4,-19.999999999999996,3
CA-2025-100095,2025-02-17,2025-02-20,CG-12520,Claire Gute,0,USA,Henderson,Kentucky,2,OFF-BI-10001524,1,Binders,Premium Binder,1270.63,7,0.2,-4066.016000000001,1,4,0,762.378,181.51857142857145,2025,2,1,-320.0,0
CA-2025-100096,2025-07-04,2025-07-06,SO-20335,Sean O'Donnell,0,USA,Denver,Colorado,3,TEC-AC-10003033,2,Accessories,Wireless Mouse,3006.1,4,0.0,-4208.540000000001,1,4,2,1803.66,751.525,2025,7,3,-140.00000000000003,2
CA-2025-100097,2025-09-18,2025-09-22,AA-10480,Andrew Allen,2,USA,Denver,Colorado,3,OFF-ST-10000760,1,Storage,Storage Cart,306.14,3,0.15,-244.91200000000003,1,4,2,183.684,102.04666666666668,2025,9,3,-80.00000000000001,3
CA-2025-100098,2025-11-03,2025-11-07,AA-10480,Andrew Allen,2,USA,Boston,Massachusetts,1,OFF-LA-10000240,1,Labels,Address Labels,8970.29,7,0.0,-28704.928,0,3,2,5382.174,1281.47,2025,11,4,-320.0,1
CA-2025-100099,2026-01-03,2026-01-08,AA-10480,Andrew Allen,2,USA,Miami,Florida,2,TEC-PR-10002311,2,Printers,Laser Printer,2932.83,7,0.0,-9385.056,1,0,1,1759.698,418.9757142857143,2026,1,1,-320.0,0
CA-2025-100100,2026-05-24,2026-05-27,BH-11710,Brosina Hoffman,0,USA,Miami,Florida,2,TEC-PR-10002311,2,Printers,Laser Printer,3740.51,4,0.0,-5236.714,0,1,1,2244.306,935.1275,2026,5,2,-140.0,2
CA-2025-100101,2025-02-10,2025-02-13,LM-15800,Linda Moore,2,USA,Phoenix,Arizona,3,FUR-DE-10004567,0,Desks,Office Desk,2321.09,2,0.15,-464.2179999999999,1,0,0,1392.654,1160.545,2025,2,1,-19.999999999999996,3
CA-2025-100102,2025-06-29,2025-07-01,SO-20335,Sean O'Donnell,0,USA,Atlanta,Georgia,2,TEC-LA-10000221,2,Laptops,Laptop,5613.32,5,0.1,-11226.64,1,1,1,3367.992,1122.664,2025,6,2,-200.0,2
CA-2025-100103,2026-05-09,2026-05-12,EH-13945,Emily Harper,1,USA,Denver,Colorado,3,FUR-CH-10000111,0,Chairs,Ergonomic Chair,3231.0,3,0.05,-2584.7999999999997,0,4,0,1938.6,1077.0,2026,5,2,-79.99999999999999,2
CA-2025-100104,2026-02-11,2026-02-16,EH-13945,Emily Harper,1,USA,Denver,Colorado,3,FUR-BO-10001798,0,Bookcases,Bookcase,2833.22,5,0.3,-5666.4400000000005,1,1,1,1699.9319999999998,566.644,2026,2,1,-200.00000000000009,2
CA-2025-100105,2025-09-26,2025-10-01,JM-14520,James Miller,0,USA,Miami,Florida,2,TEC-PR-10002311,2,Printers,Laser Printer,2422.5,4,0.15,-3391.5,1,1,0,1453.5,605.625,2025,9,3,-140.0,2
CA-2025-100106,2025-08-15,2025-08-16,LM-15800,Linda Moore,2,USA,Atlanta,Georgia,2,OFF-PA-10000345,1,Paper,A4 Paper,436.54,2,0.0,-87.30799999999994,0,2,2,261.924,218.27,2025,8,3,-19.999999999999982,3
