Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2025-100023,2026-05-13,2026-05-17,BH-11710,Brosina Hoffman,Consumer,USA,New York,New York,East,FUR-DE-10004567,Furniture,Desks,Office Desk,73.98,7,0.2,26.42
CA-2025-100024,2026-04-11,2026-04-14,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1671.87,5,0.0,413.43
CA-2025-100025,2025-03-04,2025-03-07,CG-12520,Claire Gute,Consumer,USA,Denver,Colorado,West,TEC-LA-10000221,Technology,Laptops,Laptop,284.25,3,0.0,43.21
CA-2025-100026,2025-03-12,2025-03-17,DV-13045,Darrin Van Huff,Corporate,USA,Austin,Texas,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3490.36,4,0.0,814.01
CA-2025-100027,2026-03-06,2026-03-11,SB-18120,Sophia Brown,Consumer,USA,Henderson,Kentucky,South,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1755.08,6,0.2,709.39
CA-2025-100028,2025-11-04,2025-11-08,EH-13945,Emily Harper,Corporate,USA,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,IP Phone,226.4,2,0.05,61.79
CA-2025-100029,2025-05-16,2025-05-19,DV-13045,Darrin Van Huff,Corporate,USA,Austin,Texas,Central,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1789.82,3,0.1,422.24
CA-2025-100030,2025-01-09,2025-01-14,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,2671.34,2,0.0,947.47
CA-2025-100031,2025-08-04,2025-08-07,BH-11710,Brosina Hoffman,Consumer,USA,Atlanta,Georgia,South,TEC-PH-10002275,Technology,Phones,IP Phone,6794.76,5,0.0,2838.14
CA-2025-100032,2026-03-10,2026-03-13,CG-12520,Claire Gute,Consumer,USA,Phoenix,Arizona,West,FUR-DE-10004567,Furniture,Desks,Office Desk,877.65,5,0.3,149.88
CA-2025-100033,2025-01-10,2025-01-11,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,5267.64,6,0.0,1578.05
CA-2025-100034,2025-02-12,2025-02-15,EH-13945,Emily Harper,Corporate,USA,Phoenix,Arizona,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3412.68,4,0.15,603.91
CA-2025-100035,2026-02-21,2026-02-26,SO-20335,Sean O'Donnell,Consumer,USA,Dallas,Texas,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,279.24,7,0.15,49.19
CA-2025-100036,2026-02-26,2026-02-28,AA-10480,Andrew Allen,Home Office,USA,Chicago,Illinois,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,6416.69,7,0.3,2261.8
CA-2025-100037,2026-04-17,2026-04-20,AA-10480,Andrew Allen,Home Office,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,2173.37,4,0.1,320.52
CA-2025-100038,2025-10-13,2025-10-16,RT-17090,Robert Taylor,Corporate,USA,Philadelphia,Pennsylvania,East,TEC-LA-10000221,Technology,Laptops,Laptop,8456.78,6,0.0,1209.63
CA-2025-100039,2025-09-25,2025-09-27,SB-18120,Sophia Brown,Consumer,USA,Miami,Florida,South,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3124.19,7,0.15,928.7
CA-2025-100040,2026-06-08,2026-06-09,JM-14520,James Miller,Consumer,USA,Austin,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,83.26,7,0.05,26.85
CA-2025-100041,2025-03-13,2025-03-16,SB-18120,Sophia Brown,Consumer,USA,Atlanta,Georgia,South,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3062.45,5,0.2,1028.48
CA-2025-100042,2025-10-30,2025-11-04,SO-20335,Sean O'Donnell,Consumer,USA,Austin,Texas,Central,TEC-PR-10002311,Technology,Printers,Laser Printer,7134.43,7,0.0,1673.52
CA-2025-100043,2025-11-05,2025-11-09,RT-17090,Robert Taylor,Corporate,USA,Phoenix,Arizona,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,2211.81,4,0.15,635.35
CA-2025-100044,2026-03-29,2026-03-31,RT-17090,Robert Taylor,Corporate,USA,Philadelphia,Pennsylvania,East,FUR-DE-10004567,Furniture,Desks,Office Desk,735.83,2,0.15,307.07
CA-2025-100045,2025-08-29,2025-09-01,BH-11710,Brosina Hoffman,Consumer,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,262.37,1,0.3,-57.97
CA-2025-100046,2026-04-12,2026-04-16,SB-18120,Sophia Brown,Consumer,USA,Chicago,Illinois,Central,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,4843.86,8,0.0,1067.49
CA-2025-100047,2025-01-06,2025-01-07,JM-14520,James Miller,Consumer,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,644.67,8,0.05,83.09
CA-2025-100048,2025-05-05,2025-05-09,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-LA-10000221,Technology,Laptops,Laptop,5987.35,6,0.3,1296.94
CA-2025-100049,2026-06-01,2026-06-05,RT-17090,Robert Taylor,Corporate,USA,New York,New York,East,TEC-PH-10002275,Technology,Phones,IP Phone,3011.09,8,0.05,469.87
CA-2025-100050,2025-10-11,2025-10-16,LM-15800,Linda Moore,Home Office,USA,Austin,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,2039.05,2,0.05,723.66
CA-2025-100051,2025-11-24,2025-11-29,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,OFF-LA-10000240,Office Supplies,Labels,Address Labels,6942.5,7,0.05,2968.06
CA-2025-100052,2026-02-22,2026-02-25,RT-17090,Robert Taylor,Corporate,USA,Boston,Massachusetts,East,FUR-BO-10001798,Furniture,Bookcases,Bookcase,4003.23,4,0.2,533.66
CA-2025-100053,2025-01-21,2025-01-26,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,4530.71,5,0.2,1185.34
CA-2025-100054,2025-08-14,2025-08-18,BH-11710,Brosina Hoffman,Consumer,USA,Henderson,Kentucky,South,TEC-PH-10002275,Technology,Phones,IP Phone,471.52,1,0.2,92.67
CA-2025-100055,2026-04-24,2026-04-26,SB-18120,Sophia Brown,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,108.07,1,0.2,43.5
CA-2025-100056,2026-04-18,2026-04-20,CG-12520,Claire Gute,Consumer,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2337.51,4,0.15,429.1
CA-2025-100057,2026-01-24,2026-01-27,JM-14520,James Miller,Consumer,USA,Miami,Florida,South,TEC-PH-10002275,Technology,Phones,IP Phone,1126.05,1,0.0,112.64
CA-2025-100058,2025-12-25,2025-12-27,DV-13045,Darrin Van Huff,Corporate,USA,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,5041.8,4,0.0,1847.87
CA-2025-100059,2026-04-30,2026-05-01,SB-18120,Sophia Brown,Consumer,USA,Austin,Texas,Central,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1560.03,6,0.0,277.33
CA-2025-100060,2025-06-17,2025-06-20,DV-13045,Darrin Van Huff,Corporate,USA,Phoenix,Arizona,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3996.75,7,0.05,1692.23
CA-2025-100061,2025-09-06,2025-09-07,AA-10480,Andrew Allen,Home Office,USA,Los Angeles,California,West,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,6969.67,7,0.0,1902.12
CA-2025-100062,2025-12-16,2025-12-17,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,4019.49,6,0.3,737.1
CA-2025-100063,2026-06-19,2026-06-22,SB-18120,Sophia Brown,Consumer,USA,Boston,Massachusetts,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,2328.61,5,0.05,370.82
CA-2025-100064,2025-03-30,2025-04-02,LM-15800,Linda Moore,Home Office,USA,Austin,Texas,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2505.03,7,0.3,337.54
CA-2025-100065,2025-08-06,2025-08-09,AA-10480,Andrew Allen,Home Office,USA,Henderson,Kentucky,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3981.11,5,0.05,1672.21
CA-2025-100066,2026-02-21,2026-02-25,RT-17090,Robert Taylor,Corporate,USA,Chicago,Illinois,Central,TEC-PH-10002275,Technology,Phones,IP Phone,5422.24,8,0.0,2263.41
CA-2025-100067,2025-08-15,2025-08-19,BH-11710,Brosina Hoffman,Consumer,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3647.31,6,0.15,1098.11
CA-2025-100068,2025-12-05,2025-12-08,LM-15800,Linda Moore,Home Office,USA,Henderson,Kentucky,South,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,721.15,4,0.05,244.87
CA-2025-100069,2025-07-09,2025-07-11,BH-11710,Brosina Hoffman,Consumer,USA,Boston,Massachusetts,East,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,6987.06,5,0.05,2419.71
CA-2025-100070,2026-01-05,2026-01-07,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1315.53,1,0.1,270.87
CA-2025-100071,2025-05-10,2025-05-14,DV-13045,Darrin Van Huff,Corporate,USA,Phoenix,Arizona,West,TEC-PH-10002275,Technology,Phones,IP Phone,5330.39,8,0.0,597.41
CA-2025-100072,2025-09-16,2025-09-20,DV-13045,Darrin Van Huff,Corporate,USA,Denver,Colorado,West,TEC-PH-10002275,Technology,Phones,IP Phone,1739.52,2,0.0,690.41
CA-2025-100073,2025-11-08,2025-11-09,BH-11710,Brosina Hoffman,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3730.51,4,0.2,1090.5
CA-2025-100074,2026-03-30,2026-04-02,SB-18120,Sophia Brown,Consumer,USA,Boston,Massachusetts,East,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,918.35,1,0.0,108.68
CA-2025-100075,2025-08-01,2025-08-03,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2497.41,3,0.0,1121.5
CA-2025-100076,2026-04-07,2026-04-12,LM-15800,Linda Moore,Home Office,USA,Miami,Florida,South,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3721.77,5,0.3,1531.73
CA-2025-100077,2025-09-28,2025-10-03,BH-11710,Brosina Hoffman,Consumer,USA,New York,New York,East,TEC-LA-10000221,Technology,Laptops,Laptop,3509.91,4,0.1,563.97
CA-2025-100078,2025-03-15,2025-03-16,SO-20335,Sean O'Donnell,Consumer,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2325.19,5,0.3,374.91
CA-2025-100079,2025-10-06,2025-10-11,RT-17090,Robert Taylor,Corporate,USA,Boston,Massachusetts,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,1134.95,1,0.15,270.91
CA-2025-100080,2025-01-27,2025-01-28,BH-11710,Brosina Hoffman,Consumer,USA,Phoenix,Arizona,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,1147.03,1,0.0,327.28
CA-2025-100081,2026-03-29,2026-04-01,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,1136.5,2,0.2,378.84
CA-2025-100082,2025-04-18,2025-04-20,EH-13945,Emily Harper,Corporate,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,3989.0,5,0.2,659.19
CA-2025-100083,2025-02-07,2025-02-11,DV-13045,Darrin Van Huff,Corporate,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2328.92,2,0.2,343.01
CA-2025-100084,2025-01-02,2025-01-07,LM-15800,Linda Moore,Home Office,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3938.44,6,0.3,791.4
CA-2025-100085,2025-07-28,2025-07-31,RT-17090,Robert Taylor,Corporate,USA,Austin,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,1451.03,8,0.05,292.49
CA-2025-100086,2025-11-15,2025-11-20,CG-12520,Claire Gute,Consumer,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1395.11,2,0.0,311.53
CA-2025-100087,2025-06-07,2025-06-11,AA-10480,Andrew Allen,Home Office,USA,Henderson,Kentucky,South,TEC-PH-10002275,Technology,Phones,IP Phone,2985.27,8,0.0,942.58
CA-2025-100088,2026-06-05,2026-06-07,DV-13045,Darrin Van Huff,Corporate,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,5546.78,5,0.1,1086.52
CA-2025-100089,2026-05-17,2026-05-19,LM-15800,Linda Moore,Home Office,USA,Boston,Massachusetts,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,4096.36,7,0.15,596.59
CA-2025-100090,2025-09-02,2025-09-07,JM-14520,James Miller,Consumer,USA,Austin,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,5374.13,6,0.2,1692.17
CA-2025-100091,2025-06-05,2025-06-09,CG-12520,Claire Gute,Consumer,USA,Chicago,Illinois,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,5484.58,6,0.3,2138.3
CA-2025-100092,2025-01-16,2025-01-18,JM-14520,James Miller,Consumer,USA,Dallas,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,2057.82,5,0.2,457.98
CA-2025-100093,2025-12-03,2025-12-08,JM-14520,James Miller,Consumer,USA,Atlanta,Georgia,South,TEC-PH-10002275,Technology,Phones,IP Phone,883.51,1,0.05,202.41
CA-2025-100094,2025-10-22,2025-10-24,DV-13045,Darrin Van Huff,Corporate,USA,New York,New York,East,TEC-PR-10002311,Technology,Printers,Laser Printer,1207.95,2,0.1,161.63
CA-2025-100095,2025-02-17,2025-02-20,CG-12520,Claire Gute,Consumer,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,1270.63,7,0.2,320.1
CA-2025-100096,2025-07-04,2025-07-06,SO-20335,Sean O'Donnell,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3006.1,4,0.0,1108.45
CA-2025-100097,2025-09-18,2025-09-22,AA-10480,Andrew Allen,Home Office,USA,Denver,Colorado,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,306.14,3,0.15,31.94
CA-2025-100098,2025-11-03,2025-11-07,AA-10480,Andrew Allen,Home Office,USA,Boston,Massachusetts,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,8970.29,7,0.0,3291.9
CA-2025-100099,2026-01-03,2026-01-08,AA-10480,Andrew Allen,Home Office,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,2932.83,7,0.0,385.03
CA-2025-100100,2026-05-24,2026-05-27,BH-11710,Brosina Hoffman,Consumer,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,3740.51,4,0.0,860.74
CA-2025-100101,2025-02-10,2025-02-13,LM-15800,Linda Moore,Home Office,USA,Phoenix,Arizona,West,FUR-DE-10004567,Furniture,Desks,Office Desk,2321.09,2,0.15,437.25
CA-2025-100102,2025-06-29,2025-07-01,SO-20335,Sean O'Donnell,Consumer,USA,Atlanta,Georgia,South,TEC-LA-10000221,Technology,Laptops,Laptop,5613.32,5,0.1,730.2
CA-2025-100103,2026-05-09,2026-05-12,EH-13945,Emily Harper,Corporate,USA,Denver,Colorado,West,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3231.0,3,0.05,481.26
CA-2025-100104,2026-02-11,2026-02-16,EH-13945,Emily Harper,Corporate,USA,Denver,Colorado,West,FUR-BO-10001798,Furniture,Bookcases,Bookcase,2833.22,5,0.3,792.08
CA-2025-100105,2025-09-26,2025-10-01,JM-14520,James Miller,Consumer,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,2422.5,4,0.15,314.1
CA-2025-100106,2025-08-15,2025-08-16,LM-15800,Linda Moore,Home Office,USA,Atlanta,Georgia,South,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,436.54,2,0.0,149.94
CA-2025-100107,2026-05-20,2026-05-21,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,3841.2,7,0.2,938.91
CA-2025-100108,2025-06-08,2025-06-12,DV-13045,Darrin Van Huff,Corporate,USA,Philadelphia,Pennsylvania,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,249.68,5,0.15,93.37
CA-2025-100109,2026-04-01,2026-04-03,EH-13945,Emily Harper,Corporate,USA,Phoenix,Arizona,West,TEC-LA-10000221,Technology,Laptops,Laptop,541.19,6,0.1,207.58
CA-2025-100110,2025-05-06,2025-05-10,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,TEC-PR-10002311,Technology,Printers,Laser Printer,72.56,1,0.15,26.47
CA-2025-100111,2025-05-09,2025-05-14,BH-11710,Brosina Hoffman,Consumer,USA,Seattle,Washington,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,4641.51,4,0.05,1554.93
CA-2025-100112,2025-06-01,2025-06-06,CG-12520,Claire Gute,Consumer,USA,Miami,Florida,South,FUR-DE-10004567,Furniture,Desks,Office Desk,5998.93,5,0.0,1311.55
CA-2025-100113,2025-01-27,2025-01-29,CG-12520,Claire Gute,Consumer,USA,Miami,Florida,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,180.97,6,0.1,78.12
CA-2025-100114,2026-03-08,2026-03-13,DV-13045,Darrin Van Huff,Corporate,USA,Denver,Colorado,West,TEC-PH-10002275,Technology,Phones,IP Phone,4648.35,6,0.0,1356.38
CA-2025-100115,2025-08-15,2025-08-20,CG-12520,Claire Gute,Consumer,USA,Henderson,Kentucky,South,TEC-PR-10002311,Technology,Printers,Laser Printer,70.44,1,0.3,-64.61
CA-2025-100116,2025-04-21,2025-04-25,LM-15800,Linda Moore,Home Office,USA,Los Angeles,California,West,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,291.24,3,0.1,67.42
CA-2025-100117,2025-11-29,2025-12-03,SB-18120,Sophia Brown,Consumer,USA,Henderson,Kentucky,South,TEC-LA-10000221,Technology,Laptops,Laptop,1104.43,7,0.0,167.35
CA-2025-100118,2025-08-09,2025-08-13,LM-15800,Linda Moore,Home Office,USA,Austin,Texas,Central,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,4832.86,8,0.0,1646.11
CA-2025-100119,2025-11-17,2025-11-20,EH-13945,Emily Harper,Corporate,USA,Chicago,Illinois,Central,TEC-PH-10002275,Technology,Phones,IP Phone,291.85,2,0.0,121.81
CA-2025-100120,2025-04-09,2025-04-12,SO-20335,Sean O'Donnell,Consumer,USA,Phoenix,Arizona,West,TEC-PR-10002311,Technology,Printers,Laser Printer,995.37,2,0.2,145.49
CA-2025-100121,2025-02-22,2025-02-25,SB-18120,Sophia Brown,Consumer,USA,Henderson,Kentucky,South,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,673.53,4,0.3,216.16
CA-2025-100122,2026-01-12,2026-01-13,AA-10480,Andrew Allen,Home Office,USA,Austin,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,825.66,1,0.1,363.18
CA-2025-100123,2025-10-07,2025-10-10,EH-13945,Emily Harper,Corporate,USA,Miami,Florida,South,FUR-DE-10004567,Furniture,Desks,Office Desk,2049.16,3,0.2,872.21
CA-2025-100124,2025-02-01,2025-02-02,RT-17090,Robert Taylor,Corporate,USA,Austin,Texas,Central,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,3521.96,8,0.15,1200.73
CA-2025-100125,2025-11-29,2025-12-04,SB-18120,Sophia Brown,Consumer,USA,Los Angeles,California,West,FUR-DE-10004567,Furniture,Desks,Office Desk,3402.33,3,0.0,728.48
CA-2025-100126,2025-10-06,2025-10-10,JM-14520,James Miller,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,2919.13,7,0.0,960.95
CA-2025-100127,2025-04-24,2025-04-27,SB-18120,Sophia Brown,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-PR-10002311,Technology,Printers,Laser Printer,310.69,5,0.2,32.76
CA-2025-100128,2025-02-26,2025-02-27,BH-11710,Brosina Hoffman,Consumer,USA,Miami,Florida,South,FUR-DE-10004567,Furniture,Desks,Office Desk,2206.38,5,0.0,986.9
CA-2025-100129,2026-03-17,2026-03-19,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,704.35,6,0.0,209.42
CA-2025-100130,2026-04-16,2026-04-17,EH-13945,Emily Harper,Corporate,USA,Philadelphia,Pennsylvania,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,2471.71,7,0.2,1094.23
CA-2025-100131,2025-11-29,2025-12-01,SB-18120,Sophia Brown,Consumer,USA,Philadelphia,Pennsylvania,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,1321.4,2,0.0,482.1
CA-2025-100132,2026-02-15,2026-02-20,DV-13045,Darrin Van Huff,Corporate,USA,Boston,Massachusetts,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2025.09,4,0.0,857.15
CA-2025-100133,2025-04-27,2025-05-02,RT-17090,Robert Taylor,Corporate,USA,Austin,Texas,Central,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,1086.12,3,0.0,391.45
CA-2025-100134,2025-06-27,2025-07-02,SO-20335,Sean O'Donnell,Consumer,USA,Seattle,Washington,West,TEC-PR-10002311,Technology,Printers,Laser Printer,3927.22,8,0.3,696.35
CA-2025-100135,2025-11-27,2025-11-30,SO-20335,Sean O'Donnell,Consumer,USA,New York,New York,East,TEC-PH-10002275,Technology,Phones,IP Phone,6845.5,8,0.1,1663.48
CA-2025-100136,2025-12-27,2026-01-01,DV-13045,Darrin Van Huff,Corporate,USA,Henderson,Kentucky,South,TEC-PH-10002275,Technology,Phones,IP Phone,85.29,1,0.1,36.09
CA-2025-100137,2025-04-03,2025-04-08,SB-18120,Sophia Brown,Consumer,USA,Boston,Massachusetts,East,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,646.1,1,0.05,218.04
CA-2025-100138,2026-05-03,2026-05-08,SO-20335,Sean O'Donnell,Consumer,USA,Denver,Colorado,West,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,8842.53,6,0.0,2417.62
