Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Country,City,State,Region,Product_ID,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price
CA-2025-100040,2026-06-08,2026-06-09,JM-14520,James Miller,Consumer,USA,Austin,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,83.26,7,0.05,26.85,Retail,Eve,Credit Card,49.956,11.894285714285717
CA-2025-100041,2025-03-13,2025-03-16,SB-18120,Sophia Brown,Consumer,USA,Atlanta,Georgia,South,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3062.45,5,0.2,1028.48,Online,David,Credit Card,1837.47,612.49
CA-2025-100042,2025-10-30,2025-11-04,SO-20335,Sean O'Donnell,Consumer,USA,Austin,Texas,Central,TEC-PR-10002311,Technology,Printers,Laser Printer,7134.43,7,0.0,1673.52,Retail,Eve,PayPal,4280.658,1019.2042857142858
CA-2025-100043,2025-11-05,2025-11-09,RT-17090,Robert Taylor,Corporate,USA,Phoenix,Arizona,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,2211.81,4,0.15,635.35,Online,David,PayPal,1327.086,552.9525
CA-2025-100044,2026-03-29,2026-03-31,RT-17090,Robert Taylor,Corporate,USA,Philadelphia,Pennsylvania,East,FUR-DE-10004567,Furniture,Desks,Office Desk,735.83,2,0.15,307.07,Retail,David,Bank Transfer,441.498,367.915
CA-2025-100045,2025-08-29,2025-09-01,BH-11710,Brosina Hoffman,Consumer,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,262.37,1,0.3,-57.97,Retail,Charlie,PayPal,157.422,262.37
CA-2025-100046,2026-04-12,2026-04-16,SB-18120,Sophia Brown,Consumer,USA,Chicago,Illinois,Central,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,4843.86,8,0.0,1067.49,Online,Charlie,PayPal,2906.316,605.4825
CA-2025-100047,2025-01-06,2025-01-07,JM-14520,James Miller,Consumer,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,644.67,8,0.05,83.09,Retail,Charlie,Bank Transfer,386.802,80.58375
CA-2025-100048,2025-05-05,2025-05-09,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-LA-10000221,Technology,Laptops,Laptop,5987.35,6,0.3,1296.94,Online,David,Credit Card,3592.4100000000003,997.8916666666668
CA-2025-100049,2026-06-01,2026-06-05,RT-17090,Robert Taylor,Corporate,USA,New York,New York,East,TEC-PH-10002275,Technology,Phones,IP Phone,3011.09,8,0.05,469.87,Online,Alice,PayPal,1806.654,376.38625
CA-2025-100050,2025-10-11,2025-10-16,LM-15800,Linda Moore,Home Office,USA,Austin,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,2039.05,2,0.05,723.66,Online,David,Bank Transfer,1223.4299999999998,1019.525
CA-2025-100051,2025-11-24,2025-11-29,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,OFF-LA-10000240,Office Supplies,Labels,Address Labels,6942.5,7,0.05,2968.06,Retail,David,PayPal,4165.5,991.7857142857144
CA-2025-100052,2026-02-22,2026-02-25,RT-17090,Robert Taylor,Corporate,USA,Boston,Massachusetts,East,FUR-BO-10001798,Furniture,Bookcases,Bookcase,4003.23,4,0.2,533.66,Retail,Bob,Credit Card,2401.938,1000.8075
CA-2025-100053,2025-01-21,2025-01-26,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,4530.71,5,0.2,1185.34,Online,Eve,Bank Transfer,2718.426,906.142
CA-2025-100054,2025-08-14,2025-08-18,BH-11710,Brosina Hoffman,Consumer,USA,Henderson,Kentucky,South,TEC-PH-10002275,Technology,Phones,IP Phone,471.52,1,0.2,92.67,Online,Eve,Bank Transfer,282.912,471.52
CA-2025-100055,2026-04-24,2026-04-26,SB-18120,Sophia Brown,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,108.07,1,0.2,43.5,Retail,Eve,PayPal,64.842,108.07
CA-2025-100056,2026-04-18,2026-04-20,CG-12520,Claire Gute,Consumer,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2337.51,4,0.15,429.1,Online,Charlie,PayPal,1402.506,584.3775
CA-2025-100057,2026-01-24,2026-01-27,JM-14520,James Miller,Consumer,USA,Miami,Florida,South,TEC-PH-10002275,Technology,Phones,IP Phone,1126.05,1,0.0,112.64,Retail,Charlie,Bank Transfer,675.63,1126.05
CA-2025-100058,2025-12-25,2025-12-27,DV-13045,Darrin Van Huff,Corporate,USA,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,5041.8,4,0.0,1847.87,Retail,Alice,PayPal,3025.08,1260.45
CA-2025-100059,2026-04-30,2026-05-01,SB-18120,Sophia Brown,Consumer,USA,Austin,Texas,Central,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1560.03,6,0.0,277.33,Retail,Eve,Bank Transfer,936.018,260.005
CA-2025-100060,2025-06-17,2025-06-20,DV-13045,Darrin Van Huff,Corporate,USA,Phoenix,Arizona,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3996.75,7,0.05,1692.23,Online,David,Bank Transfer,2398.05,570.9642857142857
CA-2025-100061,2025-09-06,2025-09-07,AA-10480,Andrew Allen,Home Office,USA,Los Angeles,California,West,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,6969.67,7,0.0,1902.12,Online,Bob,PayPal,4181.802,995.6671428571428
CA-2025-100062,2025-12-16,2025-12-17,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,4019.49,6,0.3,737.1,Online,David,PayPal,2411.694,669.915
CA-2025-100063,2026-06-19,2026-06-22,SB-18120,Sophia Brown,Consumer,USA,Boston,Massachusetts,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,2328.61,5,0.05,370.82,Retail,Charlie,PayPal,1397.166,465.722
CA-2025-100064,2025-03-30,2025-04-02,LM-15800,Linda Moore,Home Office,USA,Austin,Texas,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2505.03,7,0.3,337.54,Retail,David,PayPal,1503.018,357.8614285714286
CA-2025-100065,2025-08-06,2025-08-09,AA-10480,Andrew Allen,Home Office,USA,Henderson,Kentucky,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3981.11,5,0.05,1672.21,Online,David,PayPal,2388.666,796.222
CA-2025-100066,2026-02-21,2026-02-25,RT-17090,Robert Taylor,Corporate,USA,Chicago,Illinois,Central,TEC-PH-10002275,Technology,Phones,IP Phone,5422.24,8,0.0,2263.41,Online,Bob,Credit Card,3253.344,677.78
CA-2025-100067,2025-08-15,2025-08-19,BH-11710,Brosina Hoffman,Consumer,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3647.31,6,0.15,1098.11,Online,Eve,Bank Transfer,2188.386,607.885
CA-2025-100068,2025-12-05,2025-12-08,LM-15800,Linda Moore,Home Office,USA,Henderson,Kentucky,South,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,721.15,4,0.05,244.87,Online,Eve,Credit Card,432.69,180.2875
CA-2025-100069,2025-07-09,2025-07-11,BH-11710,Brosina Hoffman,Consumer,USA,Boston,Massachusetts,East,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,6987.06,5,0.05,2419.71,Retail,Bob,Bank Transfer,4192.236,1397.412
CA-2025-100070,2026-01-05,2026-01-07,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1315.53,1,0.1,270.87,Retail,Eve,PayPal,789.318,1315.53
CA-2025-100071,2025-05-10,2025-05-14,DV-13045,Darrin Van Huff,Corporate,USA,Phoenix,Arizona,West,TEC-PH-10002275,Technology,Phones,IP Phone,5330.39,8,0.0,597.41,Retail,Bob,Bank Transfer,3198.234,666.29875
CA-2025-100072,2025-09-16,2025-09-20,DV-13045,Darrin Van Huff,Corporate,USA,Denver,Colorado,West,TEC-PH-10002275,Technology,Phones,IP Phone,1739.52,2,0.0,690.41,Retail,Eve,PayPal,1043.712,869.76
CA-2025-100073,2025-11-08,2025-11-09,BH-11710,Brosina Hoffman,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3730.51,4,0.2,1090.5,Online,Alice,Credit Card,2238.306,932.6275
CA-2025-100074,2026-03-30,2026-04-02,SB-18120,Sophia Brown,Consumer,USA,Boston,Massachusetts,East,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,918.35,1,0.0,108.68,Online,Alice,Credit Card,551.01,918.35
CA-2025-100075,2025-08-01,2025-08-03,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2497.41,3,0.0,1121.5,Retail,Charlie,Bank Transfer,1498.446,832.4699999999999
CA-2025-100076,2026-04-07,2026-04-12,LM-15800,Linda Moore,Home Office,USA,Miami,Florida,South,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3721.77,5,0.3,1531.73,Online,David,Bank Transfer,2233.062,744.354
CA-2025-100077,2025-09-28,2025-10-03,BH-11710,Brosina Hoffman,Consumer,USA,New York,New York,East,TEC-LA-10000221,Technology,Laptops,Laptop,3509.91,4,0.1,563.97,Retail,Alice,PayPal,2105.946,877.4775
CA-2025-100078,2025-03-15,2025-03-16,SO-20335,Sean O'Donnell,Consumer,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2325.19,5,0.3,374.91,Retail,Eve,Credit Card,1395.114,465.038
CA-2025-100079,2025-10-06,2025-10-11,RT-17090,Robert Taylor,Corporate,USA,Boston,Massachusetts,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,1134.95,1,0.15,270.91,Online,Eve,PayPal,680.97,1134.95
CA-2025-100080,2025-01-27,2025-01-28,BH-11710,Brosina Hoffman,Consumer,USA,Phoenix,Arizona,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,1147.03,1,0.0,327.28,Retail,David,Credit Card,688.218,1147.03
CA-2025-100081,2026-03-29,2026-04-01,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,1136.5,2,0.2,378.84,Online,Charlie,Credit Card,681.9,568.25
CA-2025-100082,2025-04-18,2025-04-20,EH-13945,Emily Harper,Corporate,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,3989.0,5,0.2,659.19,Retail,Eve,Bank Transfer,2393.4,797.8
CA-2025-100083,2025-02-07,2025-02-11,DV-13045,Darrin Van Huff,Corporate,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2328.92,2,0.2,343.01,Online,Charlie,Credit Card,1397.352,1164.46
CA-2025-100084,2025-01-02,2025-01-07,LM-15800,Linda Moore,Home Office,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3938.44,6,0.3,791.4,Retail,Eve,Bank Transfer,2363.064,656.4066666666666
CA-2025-100085,2025-07-28,2025-07-31,RT-17090,Robert Taylor,Corporate,USA,Austin,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,1451.03,8,0.05,292.49,Retail,Charlie,Bank Transfer,870.6179999999999,181.37875
CA-2025-100086,2025-11-15,2025-11-20,CG-12520,Claire Gute,Consumer,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1395.11,2,0.0,311.53,Retail,Eve,PayPal,837.0659999999999,697.555
CA-2025-100087,2025-06-07,2025-06-11,AA-10480,Andrew Allen,Home Office,USA,Henderson,Kentucky,South,TEC-PH-10002275,Technology,Phones,IP Phone,2985.27,8,0.0,942.58,Retail,Charlie,PayPal,1791.162,373.15875
CA-2025-100088,2026-06-05,2026-06-07,DV-13045,Darrin Van Huff,Corporate,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,5546.78,5,0.1,1086.52,Online,Eve,Credit Card,3328.068,1109.356
CA-2025-100089,2026-05-17,2026-05-19,LM-15800,Linda Moore,Home Office,USA,Boston,Massachusetts,East,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,4096.36,7,0.15,596.59,Retail,David,Bank Transfer,2457.816,585.1942857142857
CA-2025-100090,2025-09-02,2025-09-07,JM-14520,James Miller,Consumer,USA,Austin,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,5374.13,6,0.2,1692.17,Retail,Alice,Bank Transfer,3224.478,895.6883333333334
CA-2025-100091,2025-06-05,2025-06-09,CG-12520,Claire Gute,Consumer,USA,Chicago,Illinois,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,5484.58,6,0.3,2138.3,Online,Charlie,Credit Card,3290.748,914.0966666666668
CA-2025-100092,2025-01-16,2025-01-18,JM-14520,James Miller,Consumer,USA,Dallas,Texas,Central,TEC-PH-10002275,Technology,Phones,IP Phone,2057.82,5,0.2,457.98,Online,Alice,Credit Card,1234.692,411.564
CA-2025-100093,2025-12-03,2025-12-08,JM-14520,James Miller,Consumer,USA,Atlanta,Georgia,South,TEC-PH-10002275,Technology,Phones,IP Phone,883.51,1,0.05,202.41,Retail,Eve,Bank Transfer,530.106,883.51
CA-2025-100094,2025-10-22,2025-10-24,DV-13045,Darrin Van Huff,Corporate,USA,New York,New York,East,TEC-PR-10002311,Technology,Printers,Laser Printer,1207.95,2,0.1,161.63,Online,Eve,PayPal,724.77,603.975
CA-2025-100095,2025-02-17,2025-02-20,CG-12520,Claire Gute,Consumer,USA,Henderson,Kentucky,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,1270.63,7,0.2,320.1,Retail,Bob,Bank Transfer,762.378,181.51857142857145
CA-2025-100096,2025-07-04,2025-07-06,SO-20335,Sean O'Donnell,Consumer,USA,Denver,Colorado,West,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,3006.1,4,0.0,1108.45,Online,Bob,Credit Card,1803.66,751.525
CA-2025-100097,2025-09-18,2025-09-22,AA-10480,Andrew Allen,Home Office,USA,Denver,Colorado,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,306.14,3,0.15,31.94,Online,Charlie,Bank Transfer,183.684,102.04666666666668
CA-2025-100098,2025-11-03,2025-11-07,AA-10480,Andrew Allen,Home Office,USA,Boston,Massachusetts,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,8970.29,7,0.0,3291.9,Online,David,Credit Card,5382.174,1281.47
CA-2025-100099,2026-01-03,2026-01-08,AA-10480,Andrew Allen,Home Office,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,2932.83,7,0.0,385.03,Retail,Charlie,PayPal,1759.698,418.9757142857143
CA-2025-100100,2026-05-24,2026-05-27,BH-11710,Brosina Hoffman,Consumer,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,3740.51,4,0.0,860.74,Online,Alice,Bank Transfer,2244.306,935.1275
CA-2025-100101,2025-02-10,2025-02-13,LM-15800,Linda Moore,Home Office,USA,Phoenix,Arizona,West,FUR-DE-10004567,Furniture,Desks,Office Desk,2321.09,2,0.15,437.25,Retail,Eve,Credit Card,1392.654,1160.545
CA-2025-100102,2025-06-29,2025-07-01,SO-20335,Sean O'Donnell,Consumer,USA,Atlanta,Georgia,South,TEC-LA-10000221,Technology,Laptops,Laptop,5613.32,5,0.1,730.2,Retail,Bob,Credit Card,3367.992,1122.664
CA-2025-100103,2026-05-09,2026-05-12,EH-13945,Emily Harper,Corporate,USA,Denver,Colorado,West,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3231.0,3,0.05,481.26,Online,Charlie,Bank Transfer,1938.6,1077.0
CA-2025-100104,2026-02-11,2026-02-16,EH-13945,Emily Harper,Corporate,USA,Denver,Colorado,West,FUR-BO-10001798,Furniture,Bookcases,Bookcase,2833.22,5,0.3,792.08,Online,Bob,Credit Card,1699.9319999999998,566.644
CA-2025-100105,2025-09-26,2025-10-01,JM-14520,James Miller,Consumer,USA,Miami,Florida,South,TEC-PR-10002311,Technology,Printers,Laser Printer,2422.5,4,0.15,314.1,Online,Charlie,Credit Card,1453.5,605.625
CA-2025-100106,2025-08-15,2025-08-16,LM-15800,Linda Moore,Home Office,USA,Atlanta,Georgia,South,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,436.54,2,0.0,149.94,Retail,Alice,PayPal,261.924,218.27
CA-2025-100107,2026-05-20,2026-05-21,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,3841.2,7,0.2,938.91,Retail,Alice,PayPal,2304.72,548.7428571428571
CA-2025-100108,2025-06-08,2025-06-12,DV-13045,Darrin Van Huff,Corporate,USA,Philadelphia,Pennsylvania,East,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,249.68,5,0.15,93.37,Retail,Bob,PayPal,149.808,49.936
CA-2025-100109,2026-04-01,2026-04-03,EH-13945,Emily Harper,Corporate,USA,Phoenix,Arizona,West,TEC-LA-10000221,Technology,Laptops,Laptop,541.19,6,0.1,207.58,Online,Alice,PayPal,324.714,90.19833333333334
CA-2025-100110,2025-05-06,2025-05-10,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,TEC-PR-10002311,Technology,Printers,Laser Printer,72.56,1,0.15,26.47,Retail,Charlie,Bank Transfer,43.536,72.56
